,ID,Equipo,# P,P G,E,P P,G F,G C,D,Puntos
1,1261,Cruz Azul,11,9,1,1,26,8,18,28
2,1264,U.A.N.L. - Tigres,11,7,3,1,15,6,9,24
3,2078,Toluca,11,6,4,1,22,11,11,22
4,1257,Monterrey,12,6,3,3,15,14,1,21
5,1260,Atlético San Luis,12,6,2,4,19,13,6,20
6,1249,Pumas,11,6,2,3,15,11,4,20
7,8508,Club Tijuana,11,6,2,3,17,17,0,20
8,1258,Atlas,11,5,2,4,15,17,-2,17
9,1259,Chivas,11,4,3,4,17,11,6,15
10,1255,Club América,11,4,2,5,13,13,0,14
11,1263,Necaxa,11,3,4,4,13,11,2,13
12,1252,Puebla,12,3,2,7,14,20,-6,11
13,25149,Juarez,11,3,1,7,14,23,-9,10
14,9339,León,11,1,6,4,11,17,-6,9
15,1250,Pachuca,11,2,3,6,11,19,-8,9
16,5994,Querétaro FC,12,2,3,7,9,20,-11,9
17,66359,Mazatlan FC,11,1,5,5,8,13,-5,8
18,1254,Santos Laguna,11,2,2,7,9,19,-10,8
